"Adriano Aprà","n","['1860', 'I’LL ALWAYS LOVE YOU', 'Farewell to Youth', ""Papa's Little Rascal"", 'AN ADVENTURE OF SALVATORE ROSA', 'Teresa Vénerdi', 'The Old Guard', 'LA SIGNORA DI TUTTI']","['no form given']","['00012', '00017', '00019', '00021', '00022']","['1/24/1979', '1/26/1979', '1/31/1979', '2/2/1979', '2/6/1979']"
"Akira Kurosawa","y","['Ikiru']","['no form given']","['03437']","['7/18/1978']"
"Alan Snitow","n","[]","['no form given']","['03718']","['']"
"Albert Mkrtchian","y","['Tango of Our Childhood']","['unknown', 'no form']","['00545']","['10/18/1986']"
"Alejandro Grattan","n","['ONLY ONCE IN A LIFETIME']","['no form given']","['00024']","['2/12/1979']"
"Angela Davis","n","['Niaye', 'Emitai', ""Angela Davis, L'Enchainement"", 'Sambi Tali', 'Black Girl', 'The Black Princes of St-Germain', 'Mandabi', 'Tauw', 'Ceddo']","['no form given']","['03494', '03513', '03517', '03518', '03519']","['3/10/1978', '2/6/1978', '2/4/1978', '2/3/1978', '2/3/1978']"
"Angela Zawadzki","n","['Ben and Benedict', 'It Was Four Years Ago', 'A Nation is Born', 'Mol', 'Afrique-Sur-Seine']","['no form given']","['03520', '03522']","['2/2/1978', '1/15/1978']"
"Anja Breien","n","['Wives—Ten Years After', 'Wives']","['unknown', 'no form given']","['00504']","['3/23/1986']"
"Anna Magnani","y","['SOUTHERN CALIFORNIA']","['analog partial permissions', 'no form given']","['00385', '03724']","['5/17/1983', '']"
"Anna-Lena Wibom","n","['Häxan', 'Kinonedelia Newsreels', 'Song of the Scarlet Flower']","['analog partial permissions', 'no form given']","['00535', '03637', '03639', '03641']","['9/7/1986', '2/6/1977', '2/7/1977', '2/8/1977']"
"Anne Bohlen","n","['MEN’S LIVES', 'WITH BABIES AND BANNERS']","['unknown']","['03731']","['11/12/1980']"
"Anthony Harvey","y","['LOLITA', 'The Glass Menagerie', 'They Might Be Giants', 'Dr. Strangelove: Or How I Learned to Stop Worrying and Love the Bomb', 'The Lion in Winter', 'Dutchman']","['no form given']","['03551', '03552', '03555']","['9/28/1977', '9/21/1977', '9/14/1977']"
"Arthur Freed","y","[]","['no form given']","['03699']","['10/25/1970']"
"Astrid Lindgren","y","['THE BROTHERS LIONHART']","['no form given']","['00038']","['3/20/1979']"
"Babette Mangolte","n","['The Camera:Je or La Camera:I', '(MY DARLING BE CAREFUL)', 'THE COLD EYE', 'News from home']","['analog partial permissions', 'no form given']","['00070', '00199']","['6/5/1979', '2/27/1981']"
"Barbara Steele","n","['YOUNG TÖRLESS', '8 1/2', 'BLACK SUNDAY', 'CASTLE OF BLOOD']","['no form given']","['00005']","['1/12/1979']"
"Bastian Cleve","n","['S.F. ZEPHYR', 'HOLI']","['analog partial permissions', 'unknown']","['00094', '00184']","['10/26/1979', '1/22/1981']"
"Ben Biogaye Beye","n","['Sambi Tali', 'The Black Princes of St-Germain', 'Ceddo']","['no form given']","['03518', '03519']","['2/3/1978', '2/3/1978']"
"Bernadette Lafont","y","['Le révélateur', 'Noroît']","['no form given']","['03687', '03689']","['3/30/1977', '3/29/1977']"
